timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1716628353152,156,/actions/Account.action-112-0,302,,Thread Group 1-1,,true,,230,848,10,10,https://petstore.octoperf.com/actions/Account.action?signoff=,156,0,0
1716628353309,158,/actions/Account.action-112-1,200,,Thread Group 1-1,text,true,,2025,839,10,10,https://petstore.octoperf.com/actions/Catalog.action,157,0,0
1716628353468,157,/actions/Catalog.action-116,200,,Thread Group 1-1,text,true,,1951,839,10,10,https://petstore.octoperf.com/actions/Catalog.action,157,0,0
1716628353400,474,SignOut Page,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-2,,true,,4215,2526,10,10,null,0,2,0
1716628353401,317,/actions/Account.action-112,200,,Thread Group 1-2,text,true,,2263,1687,10,10,https://petstore.octoperf.com/actions/Catalog.action,157,0,0
1716628353401,157,/actions/Account.action-112-0,302,,Thread Group 1-2,,true,,230,848,10,10,https://petstore.octoperf.com/actions/Account.action?signoff=,157,0,0
1716628353559,159,/actions/Account.action-112-1,200,,Thread Group 1-2,text,true,,2033,839,10,10,https://petstore.octoperf.com/actions/Catalog.action,158,0,0
1716628353719,157,/actions/Catalog.action-116,200,,Thread Group 1-2,text,true,,1952,839,10,10,https://petstore.octoperf.com/actions/Catalog.action,156,0,0
1716628353424,478,SignOut Page,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-6,,true,,4212,2526,10,10,null,0,1,0
1716628353425,318,/actions/Account.action-112,200,,Thread Group 1-6,text,true,,2258,1687,10,10,https://petstore.octoperf.com/actions/Catalog.action,158,0,0
1716628353425,158,/actions/Account.action-112-0,302,,Thread Group 1-6,,true,,230,848,10,10,https://petstore.octoperf.com/actions/Account.action?signoff=,158,0,0
1716628353584,159,/actions/Account.action-112-1,200,,Thread Group 1-6,text,true,,2028,839,10,10,https://petstore.octoperf.com/actions/Catalog.action,159,0,0
1716628353744,160,/actions/Catalog.action-116,200,,Thread Group 1-6,text,true,,1954,839,10,10,https://petstore.octoperf.com/actions/Catalog.action,159,0,0
1716628353521,483,SignOut Page,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-7,,true,,4210,2526,10,10,null,0,3,0
1716628353522,322,/actions/Account.action-112,200,,Thread Group 1-7,text,true,,2258,1687,10,10,https://petstore.octoperf.com/actions/Catalog.action,162,0,0
